loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,interest_rate,inflation_rate,season_of_application,loan_status
424,2, Graduate, No,2200000,8300000,6,596,4700000,3000000,8500000,1800000,3.5488172,1.37345,Spring,approved
425,3, Graduate, Yes,7600000,30000000,10,344,19000000,13700000,27600000,11100000,3.4641764,1.0113342,Spring,rejected
426,0, Graduate, No,2600000,5100000,14,678,500000,1200000,6000000,3100000,3.8859081,1.3427633,Spring,approved
427,4, Graduate, Yes,6900000,16300000,8,606,5800000,900000,23700000,3600000,2.1367898,0.71301585,Spring,approved
428,1, Graduate, Yes,8900000,21200000,8,716,5400000,9200000,23800000,7900000,3.2518666,3.1836972,Fall,approved
429,2, Graduate, No,1700000,5700000,10,602,4900000,2700000,4500000,1800000,3.2351458,2.6000547,Spring,approved
430,0, Not Graduate, No,9800000,20100000,16,606,6200000,800000,37300000,8700000,5.165415,2.3130898,Summer,approved
431,0, Graduate, No,4700000,17500000,2,701,5400000,2300000,11700000,7000000,6.674707,2.5064464,Winter,approved
432,5, Not Graduate, Yes,300000,1100000,20,613,600000,400000,700000,200000,5.4082603,0.42380118,Summer,approved
433,0, Not Graduate, Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,6.216789,3.4232738,Winter,approved
434,5, Graduate, No,5400000,18600000,2,538,7700000,2700000,18800000,4000000,4.3724985,2.9123895,Summer,approved
435,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,5.0690074,2.2994099,Summer,approved
436,0, Not Graduate, Yes,8600000,32600000,8,778,21500000,14100000,33600000,11000000,8.366578,1.4973887,Winter,approved
437,0, Not Graduate, Yes,7600000,27600000,2,437,10000000,11200000,27600000,6800000,3.2920063,2.6674256,Spring,approved
438,5, Graduate, Yes,6100000,22500000,6,776,17600000,9900000,13800000,4800000,6.3192782,3.0841036,Winter,approved
439,0, Graduate, No,5400000,18400000,8,625,12100000,3000000,13000000,4800000,7.1254816,1.8476512,Winter,approved
440,2, Not Graduate, No,5200000,16800000,18,369,5400000,8600000,17000000,6800000,6.724905,2.5551965,Winter,rejected
441,4, Graduate, Yes,8200000,24000000,20,831,23000000,3000000,24800000,5400000,5.533697,2.8123708,Summer,approved
442,1, Not Graduate, Yes,2400000,6200000,12,337,3400000,2100000,9400000,2300000,5.4971046,2.578974,Summer,rejected
443,2, Not Graduate, No,600000,1100000,10,800,1200000,200000,2300000,900000,5.6913185,3.6227753,Fall,approved
444,1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000,2.6577764,2.0801191,Spring,rejected
445,4, Not Graduate, Yes,1300000,3400000,2,763,3800000,200000,5100000,1400000,5.7924848,3.6481433,Fall,approved
446,3, Not Graduate, No,5100000,11000000,16,826,11800000,2900000,12900000,2700000,5.3500004,2.8813288,Summer,approved
447,2, Graduate, Yes,8800000,30800000,20,820,700000,4800000,25900000,12700000,7.268403,1.4417257,Winter,approved
448,2, Not Graduate, No,6100000,15300000,2,799,7100000,5500000,17800000,5300000,2.8290005,1.5393685,Spring,approved
449,5, Graduate, Yes,6500000,18300000,4,333,8100000,400000,21700000,7000000,3.7987792,1.2786444,Spring,rejected
450,3, Graduate, No,4600000,17800000,20,716,12600000,2600000,10800000,4500000,2.6605089,2.5682313,Spring,approved
451,1, Graduate, Yes,400000,700000,10,787,1000000,200000,1600000,500000,4.254435,3.2035596,Fall,approved
452,4, Not Graduate, Yes,1300000,3400000,2,763,3800000,200000,5100000,1400000,5.126092,1.5492357,Summer,approved
453,0, Not Graduate, Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000,4.312777,2.1344416,Summer,approved
454,5, Not Graduate, No,400000,800000,18,304,900000,500000,1400000,400000,2.8231547,1.7029761,Spring,rejected
455,4, Graduate, Yes,900000,2500000,4,583,1300000,800000,1800000,1100000,5.8009744,2.3575113,Summer,approved
456,1, Graduate, No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,5.014496,2.5167844,Summer,approved
457,1, Graduate, No,4700000,15700000,4,468,13300000,5100000,16200000,3600000,4.587385,4.7980022,Winter,approved
458,5, Not Graduate, No,7900000,29900000,6,568,5800000,13900000,15900000,8700000,4.4121776,4.5648427,Winter,approved
459,3, Graduate, Yes,1700000,4600000,12,385,1500000,1300000,5200000,1700000,7.3384786,0.60858566,Winter,rejected
460,5, Graduate, Yes,600000,1400000,10,877,1400000,400000,2000000,700000,4.638039,3.4877176,Fall,approved
461,0, Not Graduate, No,5600000,19300000,18,544,6400000,2800000,19900000,6400000,3.5820935,2.2533758,Spring,rejected
462,0, Graduate, Yes,3800000,8100000,20,831,6500000,1700000,7700000,2000000,5.533697,2.8123708,Summer,approved
463,3, Graduate, Yes,3000000,7100000,6,415,2000000,5700000,9500000,2500000,2.6513638,2.3766348,Spring,rejected
464,5, Graduate, No,4700000,14400000,16,884,9900000,4400000,9300000,3800000,4.6395884,3.458191,Fall,approved
465,5, Graduate, No,7300000,26200000,10,751,1400000,12200000,26700000,10400000,4.843454,1.089774,Summer,approved
466,2, Graduate, Yes,7800000,25400000,10,513,22100000,600000,23500000,9800000,4.710659,2.8443666,Summer,rejected
467,4, Not Graduate, No,3900000,8800000,14,527,4600000,4900000,14900000,3100000,6.618491,3.4189463,Winter,rejected
468,0, Not Graduate, No,8500000,33900000,4,665,8500000,12800000,17900000,4500000,4.782628,2.5133314,Summer,approved
469,3, Not Graduate, Yes,5600000,20900000,14,649,4000000,10700000,13000000,8200000,5.2236767,1.4844884,Summer,approved
470,5, Not Graduate, No,2800000,8200000,14,615,7400000,3300000,6700000,2700000,7.2825346,4.040238,Winter,approved
471,4, Graduate, Yes,5900000,19600000,8,726,17400000,6800000,20100000,8000000,7.60068,3.4126358,Winter,approved
472,3, Not Graduate, No,3900000,10500000,20,821,1600000,6300000,11000000,3900000,3.1039007,0.90302926,Spring,approved
473,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,5.8784523,2.4345899,Summer,approved
474,1, Not Graduate, Yes,6800000,16800000,10,736,2000000,2600000,23800000,5600000,6.3530793,3.1449537,Winter,approved
475,4, Graduate, Yes,8000000,31200000,6,482,19800000,11500000,22200000,5700000,2.667387,4.0192566,Winter,rejected
476,4, Graduate, No,1200000,3300000,2,564,2200000,500000,4700000,1100000,6.958429,2.5394754,Winter,approved
477,5, Graduate, No,900000,2300000,16,590,1200000,1500000,2100000,900000,8.366578,1.4973887,Winter,approved
478,5, Not Graduate, Yes,500000,1800000,20,615,500000,700000,1100000,300000,5.2862005,1.6725396,Summer,approved
479,0, Not Graduate, Yes,1900000,5700000,18,699,5500000,200000,6500000,2000000,4.9158144,3.6316245,Fall,approved
480,2, Graduate, Yes,6900000,25300000,4,763,9000000,3600000,21300000,5500000,4.865702,3.9096444,Fall,approved
481,1, Graduate, Yes,7600000,29300000,14,690,13900000,4000000,30000000,9100000,6.547907,3.2444634,Winter,approved
482,5, Graduate, Yes,8100000,20300000,18,751,1600000,7900000,31700000,7400000,4.4989195,1.9738475,Summer,approved
483,1, Graduate, Yes,3800000,10000000,16,873,5100000,2800000,10300000,4000000,3.9232233,1.815118,Spring,approved
484,4, Graduate, No,7200000,23100000,12,632,4600000,8500000,19400000,4400000,4.404926,3.438494,Fall,approved
485,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000,4.002715,3.79399,Fall,approved
486,0, Graduate, No,6800000,18400000,2,791,4000000,900000,20200000,9900000,6.750604,3.1795733,Winter,approved
487,4, Not Graduate, No,1900000,4000000,10,388,500000,1400000,5600000,900000,5.118194,2.382124,Summer,rejected
488,2, Not Graduate, Yes,8700000,18900000,2,554,3900000,1900000,18000000,11500000,5.1118917,3.5289323,Fall,approved
489,1, Not Graduate, Yes,3500000,13500000,12,824,8400000,3900000,11600000,4100000,4.430398,0.6153104,Summer,approved
490,4, Not Graduate, No,7500000,21900000,2,585,6800000,12200000,27500000,8100000,4.739236,3.188374,Fall,approved
491,2, Graduate, No,6800000,22600000,20,393,2100000,2200000,20300000,8200000,6.283114,1.2361816,Winter,rejected
492,3, Not Graduate, Yes,7800000,17700000,6,876,15600000,15200000,25100000,10800000,4.16726,2.5154953,Summer,approved
493,4, Graduate, Yes,2600000,9400000,18,481,2700000,4400000,8600000,2400000,4.5027905,2.6644719,Summer,rejected
494,3, Not Graduate, No,4300000,11100000,6,312,4800000,3800000,10100000,3300000,5.62692,2.497334,Summer,rejected
495,2, Graduate, Yes,9200000,25300000,4,827,25900000,15900000,19300000,11000000,6.131686,4.222612,Winter,approved
496,3, Not Graduate, Yes,4600000,13600000,20,729,1300000,8900000,17200000,5900000,6.1360607,2.4999673,Winter,approved
497,2, Not Graduate, No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,5.3870473,2.671178,Summer,approved
498,4, Graduate, No,1100000,3600000,8,693,2400000,1300000,3800000,1500000,3.99978,3.1825361,Fall,approved
499,0, Graduate, Yes,7500000,28900000,10,632,21700000,10700000,24700000,9900000,6.3192782,3.0841036,Winter,approved
500,1, Not Graduate, Yes,400000,1500000,16,688,400000,300000,1200000,200000,5.025461,2.1914032,Summer,approved
501,5, Not Graduate, Yes,7500000,15000000,14,661,12100000,5800000,29900000,4400000,5.2350097,2.957288,Summer,approved
502,3, Not Graduate, Yes,1800000,5700000,14,670,5300000,3100000,3500000,2700000,4.9145784,2.184376,Summer,approved
503,1, Not Graduate, No,2600000,7900000,12,306,2000000,2400000,7600000,3300000,6.913387,1.7260787,Winter,rejected
504,3, Graduate, Yes,7800000,20000000,14,727,4600000,7200000,17300000,8600000,5.0449424,3.40157,Fall,approved
505,2, Not Graduate, No,3100000,10400000,10,420,6900000,5900000,10000000,3500000,4.757363,4.5297594,Winter,rejected
506,5, Graduate, Yes,3400000,12300000,10,615,7000000,1600000,11400000,3500000,7.156782,1.7764945,Winter,approved
507,1, Not Graduate, No,6400000,16400000,6,428,12400000,10900000,23900000,8900000,5.382883,1.4349955,Summer,rejected
508,5, Graduate, Yes,4100000,15500000,10,836,10500000,1100000,15200000,3600000,6.7096486,1.6613531,Winter,approved
509,2, Graduate, No,4900000,18500000,8,492,12900000,5000000,10200000,5800000,5.383377,1.958027,Summer,rejected
510,4, Graduate, Yes,900000,2900000,6,560,1500000,900000,3100000,900000,3.6060097,2.355705,Spring,approved
511,2, Not Graduate, No,8400000,28300000,10,822,1800000,16000000,33000000,4400000,3.8445613,2.7274382,Spring,approved
512,2, Graduate, No,3200000,12600000,18,796,6200000,3500000,9600000,2000000,3.4075541,4.3401575,Winter,approved
513,2, Not Graduate, No,700000,2300000,8,663,700000,500000,2800000,1000000,5.883782,2.5087607,Summer,approved
514,3, Graduate, No,3900000,14100000,16,496,2500000,2200000,13700000,2900000,5.8840327,2.353621,Summer,rejected
515,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,7.347899,2.828713,Winter,approved
516,2, Not Graduate, Yes,8500000,30900000,6,664,5700000,9900000,19800000,7400000,3.7460523,2.2458673,Spring,approved
517,5, Not Graduate, Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000,5.670609,2.6821187,Summer,rejected
518,3, Not Graduate, Yes,5800000,13600000,12,321,1700000,3300000,22300000,3400000,7.5905566,3.399223,Winter,rejected
519,4, Graduate, No,3900000,11400000,20,867,3800000,1100000,13600000,3200000,7.1073623,3.9786305,Winter,approved
520,4, Not Graduate, Yes,2800000,9200000,18,442,5800000,4800000,8400000,1300000,5.843898,3.025208,Fall,rejected
521,1, Graduate, Yes,7100000,20800000,20,437,9600000,7300000,24700000,8800000,5.829352,1.96646,Summer,rejected
522,4, Not Graduate, Yes,2700000,6800000,10,455,4700000,2600000,7400000,2700000,4.3391767,2.7330983,Summer,rejected
523,1, Graduate, Yes,7500000,29800000,18,770,1400000,5200000,28000000,8700000,5.0205417,2.978917,Summer,approved
524,0, Not Graduate, Yes,2000000,6900000,4,404,4900000,1600000,4200000,3000000,5.658216,2.6808488,Summer,approved
525,4, Graduate, No,5800000,18500000,16,436,1400000,5500000,17100000,6500000,3.8342803,3.8653007,Fall,rejected
526,5, Graduate, Yes,4200000,8500000,4,386,8700000,4600000,10500000,6000000,4.603104,4.7078815,Winter,rejected
527,5, Not Graduate, Yes,4100000,9600000,2,307,8800000,7800000,8500000,3100000,5.675013,2.4148922,Summer,rejected
528,1, Not Graduate, No,6300000,17800000,12,770,6000000,3000000,17000000,3200000,6.0266924,4.082774,Winter,approved
529,4, Graduate, No,4700000,15700000,4,868,3300000,2500000,13800000,4800000,6.9583235,2.4714158,Winter,approved
530,2, Graduate, Yes,9100000,24200000,16,685,25600000,1900000,31100000,9100000,6.0366116,1.314032,Winter,approved
531,5, Not Graduate, No,6600000,13600000,4,861,11700000,8400000,14600000,5400000,3.3024173,2.026154,Spring,approved
532,0, Graduate, No,6500000,16200000,4,812,17200000,10700000,20200000,6200000,3.569653,3.1560001,Fall,approved
533,1, Not Graduate, Yes,5600000,21000000,2,552,3200000,6300000,22100000,6100000,4.612268,3.1194892,Fall,approved
534,4, Not Graduate, Yes,6100000,12500000,14,862,11300000,1500000,21900000,6800000,2.9748445,1.6249231,Spring,approved
535,0, Not Graduate, Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000,3.999543,1.5785023,Spring,rejected
536,0, Not Graduate, Yes,300000,1100000,2,482,200000,100000,1100000,400000,4.0070515,3.2341063,Fall,approved
537,4, Not Graduate, No,4700000,10300000,12,710,7500000,7700000,16900000,6600000,5.8586755,2.3058364,Summer,approved
538,0, Not Graduate, Yes,9300000,22200000,14,701,600000,10100000,35900000,5700000,1,2.214455,Spring,approved
539,3, Graduate, Yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000,8.606019,2.4310663,Winter,approved
540,2, Not Graduate, Yes,7900000,22500000,6,571,8100000,5300000,17900000,8100000,8.760313,2.4833047,Winter,approved
541,5, Graduate, Yes,1600000,4100000,2,748,1400000,1000000,4200000,1000000,6.41478,2.358843,Winter,approved
542,2, Not Graduate, No,7400000,22500000,16,834,6400000,12600000,15700000,6000000,5.618116,1.2703569,Summer,approved
543,2, Graduate, Yes,9200000,25300000,4,827,25900000,15900000,19300000,11000000,4.9895673,1.4791727,Summer,approved
544,2, Graduate, Yes,4800000,12900000,8,740,9300000,900000,11000000,3700000,6.26516,2.3112817,Winter,approved
545,4, Not Graduate, Yes,6800000,20000000,12,679,20200000,10900000,26900000,6600000,3.8859081,1.3427633,Spring,approved
546,3, Graduate, Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000,5.2207046,3.5963504,Fall,approved
547,3, Not Graduate, Yes,9100000,29300000,2,508,19000000,5100000,31600000,11900000,6.793466,1.4516342,Winter,approved
548,1, Not Graduate, Yes,3400000,9700000,20,830,3500000,6400000,10300000,4800000,5.9892144,2.267723,Summer,approved
549,0, Graduate, No,8300000,31400000,18,558,13300000,2900000,25900000,6300000,4.989981,1.1321788,Summer,approved
550,4, Not Graduate, Yes,6000000,13200000,6,455,7300000,5900000,16500000,7100000,3.9443042,3.0031254,Fall,rejected
551,4, Not Graduate, Yes,6100000,12500000,14,862,11300000,1500000,21900000,6800000,8.409482,3.194883,Winter,approved
552,5, Not Graduate, No,3300000,8400000,18,520,500000,6300000,11000000,4000000,3.3618064,2.5924275,Spring,rejected
553,5, Graduate, No,4000000,9100000,10,515,600000,6400000,9900000,5500000,5.718001,3.954978,Fall,rejected
554,3, Graduate, No,8000000,26200000,16,890,15800000,4300000,25000000,4000000,6.8929496,2.020036,Winter,approved
555,0, Not Graduate, No,6200000,12900000,10,695,1900000,3700000,22200000,4200000,4.2780695,3.9532397,Fall,approved
556,1, Graduate, No,8800000,20200000,6,627,24200000,16100000,17600000,11900000,4.3465176,1.2841501,Summer,approved
557,1, Graduate, Yes,2100000,7300000,16,826,1600000,3500000,7700000,1400000,6.454986,3.6075325,Winter,approved
558,0, Not Graduate, Yes,3100000,8500000,8,614,1700000,4600000,11000000,3300000,5.658216,2.6808488,Summer,approved
559,1, Graduate, No,2700000,10000000,2,584,6500000,2700000,7700000,3400000,6.3145933,1.1503485,Winter,approved
560,4, Graduate, No,600000,1600000,20,869,1400000,1000000,1700000,200000,5.2474184,2.9241211,Summer,approved
561,2, Not Graduate, Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000,6.343531,3.5162957,Winter,approved
562,1, Not Graduate, Yes,4800000,14700000,2,356,7100000,8800000,13400000,5500000,7.401648,4.3368134,Winter,approved
563,1, Not Graduate, Yes,8500000,26200000,8,811,22800000,6400000,32500000,12700000,5.208342,1.2611201,Summer,approved
564,1, Not Graduate, No,2600000,7700000,6,399,3700000,4300000,8900000,3500000,6.3333507,2.8080769,Winter,rejected
565,2, Not Graduate, Yes,8500000,30900000,6,664,5700000,9900000,19800000,7400000,3.1641755,1.257522,Spring,approved
566,1, Graduate, No,6800000,22900000,4,501,3900000,9400000,17300000,4400000,3.6632712,2.1777644,Spring,approved
567,1, Not Graduate, No,4600000,13900000,8,520,13300000,6400000,9800000,2200000,4.104299,2.899018,Summer,rejected
568,0, Graduate, Yes,600000,2300000,4,319,1600000,800000,2300000,700000,3.4833617,2.4338014,Spring,approved
569,0, Not Graduate, No,8100000,26500000,20,342,5800000,5600000,23700000,5800000,1.5749446,1.7981323,Spring,rejected
570,5, Graduate, Yes,6900000,19400000,6,801,10100000,9400000,17000000,5500000,5.8721004,1.8279291,Summer,approved
571,3, Not Graduate, No,2400000,8600000,8,684,3400000,2400000,6200000,1600000,3.8586025,0.19155702,Spring,approved
572,5, Graduate, Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000,4.9249916,2.2916107,Summer,approved
573,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,6.2575192,2.2240083,Winter,approved
574,3, Not Graduate, No,2400000,8600000,8,684,3400000,2400000,6200000,1600000,4.843454,1.089774,Summer,approved
575,3, Graduate, No,600000,1100000,8,538,500000,800000,1400000,300000,6.0956264,4.2823925,Winter,rejected
576,0, Not Graduate, Yes,600000,1800000,12,511,300000,200000,2200000,400000,5.353489,0.8590382,Summer,rejected
577,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,26000000,8500000,4.582235,2.068252,Summer,rejected
578,4, Not Graduate, Yes,3700000,7400000,12,363,4800000,6800000,10500000,4400000,5.153639,1.549939,Summer,rejected
579,4, Graduate, Yes,8200000,24000000,20,831,23000000,3000000,24800000,5400000,2.6285877,2.7842133,Spring,approved
580,0, Not Graduate, Yes,2600000,5900000,6,572,5800000,3100000,7300000,3800000,6.870229,2.5232253,Winter,approved
581,1, Graduate, No,6300000,22000000,20,646,9500000,7900000,13500000,5500000,5.1442285,3.168641,Fall,approved
582,4, Not Graduate, Yes,1600000,3800000,2,896,1200000,400000,4800000,2000000,5.348895,2.2762399,Summer,approved
583,4, Graduate, No,7800000,28600000,2,703,500000,12400000,29500000,10500000,5.0067554,2.954109,Summer,approved
584,0, Graduate, Yes,9800000,23200000,10,573,23900000,3300000,23600000,14600000,7.7485456,1.0358548,Winter,approved
585,3, Graduate, No,2500000,9300000,4,810,2700000,3300000,9400000,3700000,6.8898377,4.488526,Winter,approved
586,2, Graduate, No,4900000,16000000,12,710,8700000,7100000,10000000,5700000,3.8078203,2.80976,Spring,approved
587,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,6.289273,2.303358,Winter,approved
588,2, Not Graduate, Yes,4900000,13800000,2,586,9900000,1400000,9900000,7000000,7.586253,1.785093,Winter,approved
589,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,5.9230022,2.8928921,Summer,approved
590,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,4.415571,2.2040548,Summer,approved
591,0, Not Graduate, No,6000000,12400000,2,608,3000000,2100000,17900000,6800000,4.183289,2.8524945,Summer,approved
592,3, Graduate, No,9100000,19900000,2,711,2200000,17900000,24300000,13000000,5.2862005,1.6725396,Summer,approved
593,3, Graduate, Yes,1600000,5700000,4,707,3300000,2700000,6200000,2300000,3.4698339,3.3274302,Fall,approved
594,2, Not Graduate, Yes,1500000,5000000,4,613,4400000,1300000,5200000,2100000,7.6373434,1.7561444,Winter,approved
595,3, Graduate, Yes,7700000,23100000,8,807,2900000,9800000,20400000,7000000,5.0909724,1.4653084,Summer,approved
596,5, Not Graduate, Yes,6700000,17600000,14,843,12700000,200000,19500000,5600000,6.0318017,3.7391531,Winter,approved
597,5, Graduate, Yes,2800000,10900000,6,359,5000000,3300000,7600000,3000000,5.1094737,4.43238,Winter,rejected
598,1, Not Graduate, No,1000000,3600000,4,546,2500000,0,2600000,500000,4.966483,1.1572198,Summer,approved
599,2, Not Graduate, No,5300000,10900000,6,647,14600000,3500000,18700000,3200000,7.2701087,2.3550844,Winter,approved
600,2, Not Graduate, No,4300000,8800000,6,512,7200000,6500000,16900000,2700000,4.3944416,2.2972522,Summer,rejected
601,4, Graduate, No,1100000,3600000,8,693,2400000,1300000,3800000,1500000,5.844835,2.1336799,Summer,approved
602,5, Graduate, No,4200000,12500000,18,723,1200000,300000,12900000,6100000,5.9972706,2.0721157,Summer,approved
603,4, Graduate, Yes,300000,1100000,4,457,700000,100000,1100000,400000,7.38924,2.8568642,Winter,approved
604,4, Graduate, No,1400000,2700000,18,703,600000,1300000,5400000,900000,5.6864204,3.6805503,Fall,approved
605,4, Not Graduate, No,6000000,18700000,2,623,4300000,4000000,19100000,5700000,6.390068,2.5328724,Winter,approved
606,2, Not Graduate, No,7600000,16700000,20,692,9900000,9600000,25100000,7400000,3.8861935,4.805049,Winter,approved
607,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,6.525792,1.1039575,Winter,approved
608,3, Graduate, No,3400000,8900000,6,896,4200000,4800000,10200000,4200000,2.1620347,4.522411,Winter,approved
609,5, Graduate, Yes,1100000,3200000,20,592,3200000,700000,3500000,500000,6.287978,2.424721,Winter,approved
610,2, Not Graduate, Yes,3300000,9600000,18,896,9900000,900000,12100000,4900000,4.069121,2.7020528,Summer,approved
611,2, Not Graduate, Yes,3900000,13900000,18,715,5000000,5600000,9900000,2100000,7.016804,1.6098661,Winter,approved
612,2, Not Graduate, No,6600000,15000000,16,401,13600000,6600000,23500000,3300000,6.5113435,1.6122941,Winter,rejected
613,3, Graduate, No,2500000,9300000,4,810,2700000,3300000,9400000,3700000,5.6341453,2.4041867,Summer,approved
614,5, Graduate, Yes,5500000,18800000,12,603,3300000,700000,21000000,5000000,3.616679,2.0679128,Spring,approved
615,1, Not Graduate, No,7100000,17000000,6,754,1100000,500000,27000000,6800000,5.4137473,2.363047,Summer,approved
616,2, Graduate, Yes,5500000,12000000,2,567,7200000,4700000,11500000,7000000,4.1309233,2.1904984,Summer,approved
617,3, Graduate, No,4600000,10000000,4,702,6800000,1500000,16100000,4500000,3.1987622,2.6996496,Spring,approved
618,0, Graduate, Yes,7300000,23300000,2,616,15700000,5900000,25800000,4100000,3.5070825,4.5295978,Winter,approved
619,1, Graduate, Yes,5100000,11500000,4,747,5000000,8900000,14100000,7000000,3.8373952,2.2309294,Spring,approved
620,5, Not Graduate, No,9700000,37000000,14,459,28700000,17900000,22800000,5600000,4.101804,3.4767747,Fall,rejected
621,4, Not Graduate, No,1700000,4500000,12,821,3200000,1900000,4900000,1500000,2.8975024,1.7812792,Spring,approved
622,2, Graduate, No,5200000,16200000,12,890,10500000,9600000,15800000,3900000,8.2754545,1.3211814,Winter,approved
623,4, Graduate, No,9400000,32200000,6,898,27600000,11800000,19500000,8600000,4.4431863,1.4210205,Summer,approved
624,2, Not Graduate, Yes,5700000,20500000,20,581,15200000,7800000,11400000,8500000,6.3874855,3.3581302,Winter,approved
625,5, Graduate, Yes,1300000,2900000,12,669,400000,1700000,3900000,1800000,4.5721164,2.0409248,Summer,approved
626,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,5.6205583,2.0089643,Summer,approved
627,1, Not Graduate, Yes,2000000,6600000,10,873,1400000,200000,6300000,2400000,3.2253833,4.430103,Winter,approved
628,5, Not Graduate, Yes,7000000,26900000,4,889,1400000,4200000,22400000,7400000,3.051895,1.9017777,Spring,approved
629,4, Graduate, Yes,7200000,23100000,14,644,13300000,3500000,18300000,4200000,2.1256435,2.0241876,Spring,approved
630,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,5.8491974,1.8523595,Summer,approved
631,0, Graduate, Yes,1000000,3200000,10,854,2600000,800000,2900000,1200000,2.2973068,2.4062512,Spring,approved
632,3, Not Graduate, No,7400000,23400000,16,700,19300000,3000000,20700000,8900000,5.949272,1.7847556,Summer,approved
633,0, Not Graduate, Yes,7300000,24000000,18,651,16600000,100000,19600000,4500000,2.2341897,1.5148623,Spring,approved
634,1, Graduate, Yes,1800000,6300000,12,749,4200000,200000,3800000,2700000,3.8960497,1.6813853,Spring,approved
635,0, Graduate, No,7000000,27800000,16,640,11500000,3700000,16000000,8200000,5.7031717,2.8380647,Summer,approved
636,5, Graduate, No,3100000,10500000,6,584,7700000,2100000,10900000,2900000,4.060381,1.8337965,Summer,approved
637,5, Not Graduate, Yes,4100000,12400000,8,309,8200000,1000000,13000000,3300000,3.6342108,0,Spring,rejected
638,1, Not Graduate, Yes,2800000,5900000,20,728,1000000,3200000,10300000,1400000,3.0309887,1.4353986,Spring,approved
639,0, Graduate, No,5200000,19000000,14,687,11900000,500000,19400000,4400000,3.5645807,2.7448301,Spring,approved
640,5, Not Graduate, Yes,5500000,17300000,16,874,1000000,2900000,13700000,7900000,5.330467,2.468622,Summer,approved
641,4, Not Graduate, Yes,7900000,27300000,10,560,23100000,14400000,28500000,10900000,3.2920063,2.6674256,Spring,approved
642,3, Graduate, No,4200000,12500000,20,375,1300000,5100000,10900000,2400000,2.0767279,1.5939759,Spring,rejected
643,5, Graduate, No,9000000,21300000,14,602,3400000,7700000,35400000,11000000,2.7478387,2.1740482,Spring,approved
644,2, Graduate, No,5400000,20600000,18,621,11200000,2200000,11600000,5500000,4.2001014,3.251222,Fall,approved
645,0, Graduate, Yes,7100000,20100000,16,756,8000000,5000000,17600000,5400000,5.7012053,3.1362722,Fall,approved
646,1, Graduate, No,1600000,4600000,12,415,800000,600000,3900000,1500000,5.118569,1.1581614,Summer,rejected
647,3, Not Graduate, Yes,8500000,24900000,18,749,9600000,1200000,31700000,10100000,3.40526,2.9692502,Spring,approved
648,5, Not Graduate, Yes,4600000,12800000,14,769,13100000,8600000,12100000,3500000,4.8955083,2.0769916,Summer,approved
649,1, Not Graduate, Yes,5000000,16800000,6,711,6300000,7600000,16000000,3200000,6.3427625,1.6007481,Winter,approved
650,5, Not Graduate, No,2500000,8800000,10,769,3700000,1600000,8200000,2700000,7.57553,2.976918,Winter,approved
651,0, Not Graduate, Yes,9200000,34900000,4,702,16900000,16000000,24100000,9800000,4.6019826,2.7511008,Summer,approved
652,4, Not Graduate, Yes,5700000,13900000,12,775,1600000,3100000,15900000,7100000,3.8788564,2.7428894,Spring,approved
653,5, Graduate, Yes,5200000,12700000,16,718,11700000,100000,18100000,7200000,5.1479726,3.6863384,Fall,approved
654,1, Graduate, Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000,4.096011,1.5835867,Summer,approved
655,1, Graduate, Yes,6800000,27200000,2,702,4600000,2400000,27100000,6300000,4.1535187,3.0029676,Fall,approved
656,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,3.5517132,1.3334408,Spring,approved
657,5, Not Graduate, Yes,800000,2500000,4,780,500000,900000,1700000,400000,3.526314,2.870692,Spring,approved
